,age,income,frq,rcn,mnt,clothes,kitchen,small_appliances,toys,house_keeping,dependents,per_net_purchase,gender,education,status,description
0,1946,90782,33,66,1402,37,5,44,10,3,0,19,M,Graduation,Together,Take my money!!
1,1936,113023,32,6,1537,55,1,38,4,2,0,9,F,PhD,Divorced,Take my money!!
2,1990,28344,11,69,44,32,19,24,1,24,1,59,M,Graduation,Married,Kind of OK
3,1955,93571,26,10,888,60,10,19,6,5,1,35,F,Master,,OK nice!
4,1955,91852,31,26,1138,59,5,28,4,4,1,34,F,Graduation,Together,Take my money!!
5,1982,22386,14,65,56,47,2,48,2,1,1,67,M,PhD,Single,OK nice!
6,1969,69485,18,73,345,71,7,13,1,8,1,46,M,Graduation,Together,OK nice!
7,1960,68602,5,44,41,84,1,12,2,0,1,37,M,Graduation,Together,Horrible
8,1940,109499,30,75,1401,38,9,35,9,9,0,17,M,Graduation,Divorced,OK nice!
9,1994,23846,8,153,19,18,55,17,10,1,1,39,F,1st Cycle,Together,Meh...
10,1949,97492,20,93,774,37,16,33,9,5,0,15,M,Master,Single,OK nice!
11,1957,75436,17,32,491,60,4,33,2,1,1,29,M,Graduation,Together,OK nice!
12,1954,95586,32,54,1407,27,3,39,20,11,0,23,F,2nd Cycle,Widow,Take my money!!
13,1979,57997,10,28,81,77,0,21,1,0,1,52,M,Graduation,Married,Meh...
14,1982,50289,10,231,20,46,0,33,16,5,1,70,M,PhD,Together,Meh...
15,1992,20043,5,37,16,6,28,35,28,3,0,51,M,Graduation,Single,Kind of OK
16,1938,112765,44,72,2039,19,1,35,14,31,0,23,M,2nd Cycle,Together,OK nice!
17,1990,26141,8,52,36,19,17,28,23,12,0,50,M,Graduation,Together,Meh...
18,1988,40944,10,67,52,30,12,46,9,3,1,60,M,2nd Cycle,Together,Meh...
19,1947,89755,13,44,394,12,4,14,34,36,0,15,M,1st Cycle,Married,Meh...
20,1995,43392,12,4,118,5,29,16,12,38,0,57,M,1st Cycle,Widow,Meh...
21,1982,50518,9,42,52,22,11,51,9,7,1,57,F,Graduation,Together,OK nice!
22,1981,41238,18,59,304,67,4,23,3,4,1,60,F,Master,Married,Kind of OK
23,1946,104758,33,14,1595,35,5,39,10,11,0,12,M,2nd Cycle,Married,Take my money!!
24,1971,59583,10,99,65,70,1,26,0,3,1,66,F,Master,Together,Kind of OK
25,1976,33634,10,17,41,63,3,18,9,7,1,51,M,Graduation,Married,Kind of OK
26,1961,90708,25,61,767,76,3,15,4,3,0,52,M,2nd Cycle,Married,Kind of OK
27,1986,30957,9,156,19,77,2,17,0,4,1,64,F,Master,Married,Meh...
28,1940,119982,37,52,1852,20,3,48,15,14,0,13,F,2nd Cycle,Widow,Take my money!!
29,1982,54327,8,21,47,20,14,39,16,11,1,62,M,2nd Cycle,Single,Kind of OK
30,1973,65852,10,55,63,64,1,31,2,2,1,57,M,Graduation,Single,Kind of OK
31,1967,69713,37,64,1340,81,1,8,4,5,1,61,M,Graduation,Divorced,Take my money!!
32,1955,87449,16,87,445,53,2,37,4,3,1,38,F,PhD,Single,Kind of OK
33,1976,47584,15,94,180,41,2,50,5,1,1,53,M,1st Cycle,Together,Kind of OK
34,1936,109767,41,30,2040,46,7,37,6,4,0,14,F,1st Cycle,Together,OK nice!
35,1996,36143,14,65,150,6,28,27,17,22,1,60,M,1st Cycle,Widow,Meh...
36,1979,49108,8,80,30,57,9,24,0,10,1,48,F,Graduation,Married,OK nice!
37,1996,12808,9,93,25,6,26,15,19,33,1,62,M,1st Cycle,Single,OK nice!
38,1958,85333,27,13,1019,55,7,27,9,2,1,25,M,Graduation,Married,Take my money!!
39,1995,33176,8,52,40,4,12,27,57,0,1,43,M,1st Cycle,Married,Kind of OK
40,1959,93132,29,81,1277,53,13,23,9,2,0,20,F,Graduation,Together,Take my money!!
41,1955,90841,21,56,601,62,1,32,1,3,1,41,F,PhD,Married,Kind of OK
